,0
1T,-11.94827586206897
2T,-11.155172413793105
3T,-6.071428571428572
4T,0.3517241379310346
5T,7.065517241379308
6T,12.689655172413794
7T,15.82758620689655
8T,13.210344827586201
5T-prev,6.958620689655172
6T-prev,12.748275862068965
7T-prev,15.59655172413793
8T-prev,13.158620689655168
9T-prev,7.658620689655171
10T-prev,0.7
11T-prev,-5.434482758620692
12T-prev,-9.439285714285713
1R,38.44137931034483
2R,29.968965517241372
3R,28.65862068965517
4R,28.493103448275864
5R,33.699999999999996
6R,56.22758620689655
7R,73.53103448275863
8R,61.06206896551724
5R-prev,35.665517241379305
6R-prev,57.41724137931035
7R-prev,74.73793103448276
8R-prev,61.07931034482758
9R-prev,44.06551724137932
10R-prev,38.78620689655172
11R-prev,45.8655172413793
12R-prev,39.310344827586206
